,date,vodid,countKeyword,countTotal,countPercentage
0,2021-08-15,1119487001,7,468,1.4957264957264957
1,2021-08-18,1122490820,4,295,1.3559322033898304
2,2021-08-19,1123494272,14,580,2.413793103448276
3,2021-08-20,1124482734,12,528,2.272727272727273
4,2021-08-22,1126556451,7,509,1.37524557956778
5,2021-08-23,1127507685,4,183,2.185792349726776
